"","venue","matchup.batSide.code","HR_rate","XBH_rate","H_rate","avg_EV","avg_dist","total_PA","seasons_n"
"1","Acereros del Norte","L",0.0249849488260084,0.0692354003612282,0.246538229981939,NA,NA,3322,3
"2","Acereros del Norte","R",0.0227323378649432,0.0628482282148429,0.243369734789392,NA,NA,4487,3
"3","Algodoneros Union Laguna","L",0.02339514978602,0.072753209700428,0.241369472182596,NA,NA,3505,3
"4","Algodoneros Union Laguna","R",0.0266922912662823,0.0792227204783259,0.265214606021781,NA,NA,4683,3
"5","Bravos de Leon","L",0.0333236742973051,0.0938858301941466,0.280788177339901,NA,NA,3451,3
"6","Bravos de Leon","R",0.0313414124529879,0.0894274968658588,0.277684914333473,NA,NA,4786,3
"7","Caliente de Durango","L",0.0287189415940626,0.0945466279444982,0.276540819619232,NA,NA,3099,3
"8","Caliente de Durango","R",0.0209541627689429,0.0815715622076707,0.264172123479888,NA,NA,5345,3
"9","Charros de Jalisco","L",0.0250377073906486,0.0865761689291101,0.256711915535445,NA,NA,3315,3
"10","Charros de Jalisco","R",0.0301771266127269,0.0841898097528974,0.275967636125082,NA,NA,4573,3
"11","Conspiradores de Queretaro","L",0.042456608811749,0.102269692923899,0.293724966622163,NA,NA,3745,3
"12","Conspiradores de Queretaro","R",0.0486533449174631,0.110338835794961,0.294309296264118,NA,NA,4604,3
"13","Diablos Rojos del Mexico","L",0.0288523188715538,0.0985253259243428,0.291729001923488,NA,NA,4679,3
"14","Diablos Rojos del Mexico","R",0.0328613411701843,0.0988511888859204,0.274111675126904,NA,NA,3743,3
"15","Dorados de Chihuahua","L",0.0292452830188679,0.090566037735849,0.272012578616352,NA,NA,3180,3
"16","Dorados de Chihuahua","R",0.0283899887934255,0.101045946955547,0.283526335450131,NA,NA,5354,3
"17","El Aguila de Veracruz","L",0.0298637286169904,0.0759640475500145,0.225862568860539,NA,NA,3449,3
"18","El Aguila de Veracruz","R",0.0317496573777981,0.0765189584285062,0.234125171311101,NA,NA,4378,3
"19","Guerreros de Oaxaca","L",0.0307818033233451,0.0918005992917461,0.274039771179515,NA,NA,3671,3
"20","Guerreros de Oaxaca","R",0.0356824264049955,0.0936663693131133,0.281891168599465,NA,NA,4484,3
"21","Leones de Yucatan","L",0.0210229055538124,0.0712268591151553,0.228741763413869,NA,NA,3187,3
"22","Leones de Yucatan","R",0.0225939604605692,0.0599608950684336,0.222029111449055,NA,NA,4603,3
"23","Olmecas de Tabasco","L",0.0227736233854521,0.070700203942896,0.236233854520734,NA,NA,2942,3
"24","Olmecas de Tabasco","R",0.0200591216216216,0.0648226351351351,0.225717905405405,NA,NA,4736,3
"25","Pericos de Puebla","L",0.0357537781054184,0.0928861039439735,0.275340950976778,NA,NA,2713,3
"26","Pericos de Puebla","R",0.0310215372456036,0.0857538035961272,0.289468484489231,NA,NA,5061,3
"27","Piratas de Campeche","L",0.0416043100868004,0.0879976055073331,0.238252020353188,NA,NA,3341,3
"28","Piratas de Campeche","R",0.0316058107577542,0.0696898311739301,0.222418531605811,NA,NA,5094,3
"29","Rieleros de Aguascalientes","L",0.0299880047980808,0.0951619352259096,0.267093162734906,NA,NA,2501,3
"30","Rieleros de Aguascalientes","R",0.0405944182674882,0.0989488945270025,0.297390358825661,NA,NA,5518,3
"31","Saraperos de Saltillo","L",0.0323529411764706,0.0947712418300654,0.260130718954248,NA,NA,3060,3
"32","Saraperos de Saltillo","R",0.0295135725997449,0.0788850428128985,0.275642193477865,NA,NA,5489,3
"33","Sultanes de Monterrey","L",0.0254466702761234,0.0722793719545208,0.232809962100704,NA,NA,3694,3
"34","Sultanes de Monterrey","R",0.0201762523191095,0.0749072356215213,0.247448979591837,NA,NA,4312,3
"35","Tecos de los Dos Laredos","L",0.0190415741034592,0.073310060298318,0.230085687083466,NA,NA,3151,3
"36","Tecos de los Dos Laredos","R",0.019907100199071,0.0612696306126963,0.237558062375581,NA,NA,4521,3
"37","Tigres de Quintana Roo","L",0.0210559396605908,0.0675675675675676,0.217159019484601,NA,NA,3182,3
"38","Tigres de Quintana Roo","R",0.0281950543101456,0.0660966027270626,0.21654726138202,NA,NA,4327,3
"39","Toros de Tijuana","L",0.0247042449547669,0.0661099512874043,0.211899791231733,NA,NA,2874,3
"40","Toros de Tijuana","R",0.0240647118301314,0.068149646107179,0.224064711830131,NA,NA,4945,3
