"","team","seasons_n","total_games","PF_HR_avg","PF_H_avg","PF_R_avg","PF_K_avg","PF_BB_avg","PF_2B_avg","avg_temp","PF_HR_avg_idx","PF_H_avg_idx","PF_R_avg_idx","PF_K_avg_idx","PF_BB_avg_idx","PF_2B_avg_idx","altitud","humidity","altitud_ft"
"1","Acereros del Norte",3,137,0.951806493137911,0.9579747122017,0.929180058108114,0.934035886284688,1.08254581140839,0.924169864812261,91.1372860482519,95.1806493137911,95.79747122017,92.9180058108115,93.4035886284688,108.254581140839,92.4169864812261,607,0.54,1991
"2","Algodoneros Union Laguna",3,144,0.849083696595843,0.99436744526587,0.961279461471827,0.912034183577715,1.06534526167786,1.0064372659176,95.0866241785253,84.9083696595843,99.436744526587,96.1279461471827,91.2034183577715,106.534526167786,100.64372659176,1135,0.46,3724
"3","Bravos de Leon",3,137,1.25261794822846,1.15501999627351,1.27300590784204,0.870375610001368,1.16100298541482,1.23842835619034,83.2527228655524,125.261794822846,115.501999627351,127.300590784204,87.0375610001367,116.100298541482,123.842835619034,1820,0.55,5971
"4","Caliente de Durango",3,138,0.811521838357438,1.09769061129329,1.26621121852789,0.796409838572033,1.22244911489677,1.16023129139278,77.9557154335479,81.1521838357438,109.769061129329,126.621121852789,79.6409838572033,122.244911489677,116.023129139278,1906,0.5,6253
"5","Charros de Jalisco",3,136,1.17621436832491,1.10322760472642,1.20404354049312,0.955308645478917,1.0990511768557,1.26318252567772,83.3065827413417,117.621436832491,110.322760472642,120.404354049312,95.5308645478917,109.90511768557,126.318252567772,1555,0.62,5102
"6","Conspiradores de Queretaro",3,136,1.52113521915354,1.16050037086389,1.36263225610676,0.804295446544842,1.21269312137081,1.33209161129011,74.0874307299939,152.113521915354,116.050037086389,136.263225610676,80.4295446544842,121.269312137081,133.209161129011,1820,0.58,5971
"7","Diablos Rojos del Mexico",3,132,1.06516327897658,1.22304260799908,1.4115082316705,0.740777549362001,1.08463058986608,1.46419363545335,74.9001161311998,106.516327897658,122.304260799908,141.15082316705,74.0777549362001,108.463058986608,146.419363545335,2232,0.68,7323
"8","Dorados de Chihuahua",3,138,1.23669416868426,1.15623136378445,1.27621592310054,0.949165769345447,0.936925585036016,1.40681345563107,88.8534532185833,123.669416868426,115.623136378445,127.621592310054,94.9165769345447,93.6925585036016,140.681345563107,1415,0.44,4642
"9","El Aguila de Veracruz",3,140,1.10997322968852,0.852926707564398,0.875066371382609,1.13174895020109,1.12176410129216,0.822966082343383,85.8608825048012,110.997322968852,85.2926707564398,87.5066371382609,113.174895020109,112.176410129216,82.2966082343383,17,0.84,56
"10","Guerreros de Oaxaca",3,135,1.05903940246235,1.06912261957408,1.12064532424218,0.988136493105775,0.991007660586742,1.23798792864112,75.7008820729773,105.903940246235,106.912261957408,112.064532424218,98.8136493105775,99.1007660586742,123.798792864112,1566,0.7,5138
"11","Leones de Yucatan",3,134,0.71318422786634,0.874432402735586,0.775070825672437,1.02994990083549,1.07031917977114,0.784538292960723,90.0773603117244,71.318422786634,87.4432402735586,77.5070825672437,102.994990083549,107.031917977114,78.4538292960723,12,0.78,39
"12","Olmecas de Tabasco",3,136,0.730564175681502,0.900540399596503,0.799852333109552,0.950510986465599,1.16479463677689,0.833242039508585,89.1314612800808,73.0564175681502,90.0540399596503,79.9852333109552,95.0510986465599,116.479463677689,83.3242039508585,21,0.86,69
"13","Pericos de Puebla",3,137,1.23429608473055,1.13251188954656,1.33453130855239,0.696793610043667,1.14955174015361,1.13479406741017,73.7901481037524,123.429608473055,113.251188954656,133.453130855239,69.6793610043667,114.955174015361,113.479406741017,2192,0.65,7192
"14","Piratas de Campeche",3,137,1.24150393127082,0.952147692697356,0.951026132700937,1.16514420345554,1.0366979049661,0.970662646841008,87.0923846909953,124.150393127082,95.2147692697356,95.1026132700937,116.514420345554,103.66979049661,97.0662646841008,3,0.76,10
"15","Rieleros de Aguascalientes",3,136,1.37582816010078,1.14774887953788,1.28935767270102,0.718301660408283,1.15908176699921,1.38590907424851,77.2984905750445,137.582816010078,114.774887953788,128.935767270102,71.8301660408283,115.908176699921,138.590907424851,1921,0.52,6302
"16","Saraperos de Saltillo",3,139,1.27093556378703,1.10165413982158,1.28966768382947,0.863475960993144,1.12940683677149,1.26309929671604,77.8659403628732,127.093556378703,110.165413982158,128.966768382947,86.3475960993144,112.940683677149,126.309929671604,1565,0.56,5135
"17","Sultanes de Monterrey",3,139,0.908804421688266,0.996968947226316,0.996025750175875,1.02754370953157,1.03388671971418,1.01611499657795,87.7723024100273,90.8804421688266,99.6968947226316,99.6025750175875,102.754370953157,103.388671971418,101.611499657795,532,0.66,1745
"18","Tecos de los Dos Laredos",3,138,0.886157568868566,0.928750364681295,0.795699673886194,1.11521661607833,0.945456397869441,0.895297466026069,93.556873541391,88.6157568868566,92.8750364681295,79.5699673886194,111.521661607833,94.5456397869441,89.5297466026069,154,0.6,505
"19","Tigres de Quintana Roo",3,138,0.907496231647668,0.875498785375743,0.688288859128534,1.1135113240678,0.924534027805004,0.815945955865017,84.904718446602,90.7496231647668,87.5498785375743,68.8288859128534,111.35113240678,92.4534027805004,81.5945955865017,7,0.82,23
"20","Toros de Tijuana",3,138,0.84534030467144,0.899178065604288,0.902488894810037,1.13362191009496,1.1229278885726,0.930509153854681,64.7874385092438,84.534030467144,89.9178065604288,90.2488894810037,113.362191009496,112.29278885726,93.0509153854681,61,0.75,200
