"","team","seasons_n","total_games","total_PA","AVG","OBP","SLG","OPS","HR_per_PA","K_pct","BB_pct","avg_temp","pct_day","pct_evening","pct_night","pct_cloudy"
"1","Acereros del Norte",3,274,10826,0.290872723444573,0.357565121004988,0.439835772186546,0.797400893191534,0.0265102530944024,0.184001477923517,0.0883983003879549,86.5944520566003,0.0428251748465896,0.861832985769865,0.0953418393835457,0.682365938657454
"2","Algodoneros Union Laguna",3,276,10685,0.280202608039659,0.358259241927936,0.448755253798901,0.807014495726837,0.0282639213851193,0.185774450163781,0.0979878334113243,89.1418194768421,0.047878585219182,0.88566017537502,0.0664612394057984,0.532565092693306
"3","Bravos de Leon",3,273,11077,0.293830494391359,0.370587704252054,0.476007478188617,0.84659518244067,0.0324997743071229,0.206012458246818,0.0988534801841654,82.9070498032744,0.0573228030511289,0.859145316087563,0.0835318808613082,0.707654412496613
"4","Caliente de Durango",3,278,11049,0.28846754870299,0.364467372612906,0.437753932701323,0.802221305314229,0.0238030591003711,0.20517693908951,0.100099556520952,80.7975948837065,0.0742369959022529,0.875164010850056,0.0505989932476915,0.612529691641641
"5","Charros de Jalisco",3,277,10942,0.286087866108787,0.361999634436118,0.444560669456067,0.806560303892185,0.0258636446719064,0.201060135258636,0.0953207823067081,82.8562261359526,0.0934074770565862,0.855632278691404,0.0509602442520094,0.629849275563404
"6","Conspiradores de Queretaro",3,272,10904,0.307820820716299,0.379402054292003,0.497441787616164,0.876843841908167,0.0376925898752751,0.17571533382245,0.097028613352898,77.9780671131982,0.119981637796823,0.807404805247369,0.0726135569558082,0.740496326508147
"7","Diablos Rojos del Mexico",3,271,11255,0.317554442286065,0.392447800977343,0.515693691851549,0.908141492828892,0.0355397601066193,0.17734340293203,0.107952021323856,79.0192895669941,0.233601402190397,0.723702439634068,0.0426961581755349,0.788795602398845
"8","Dorados de Chihuahua",3,278,11070,0.294979508196721,0.361878952122855,0.435040983606557,0.796919935729412,0.0200542005420054,0.183468834688347,0.0899728997289973,86.0574319267815,0.103654228625493,0.840140117433445,0.0562056539410623,0.516844154703406
"9","El Aguila de Veracruz",3,276,10804,0.273378219514802,0.350333209922251,0.422036977663781,0.772370187586032,0.0252684191040355,0.196408737504628,0.0995927434283599,83.9873505261963,0.0718733148158031,0.881665187853316,0.0464614973308812,0.6925826514093
"10","Guerreros de Oaxaca",3,275,11235,0.308560390402603,0.378282153983089,0.490341602277349,0.868623756260437,0.0315976858032933,0.177036048064085,0.0970182465509568,79.1932140689942,0.168244704868206,0.772222285862122,0.0595330092696722,0.741406828713063
"11","Leones de Yucatan",3,269,10536,0.274659400544959,0.352126044039484,0.41983651226158,0.771962556301064,0.0262908124525437,0.181852695520121,0.101082004555809,86.3043998010933,0.0650789782336234,0.847753101359043,0.0871679204073336,0.700116073630644
"12","Olmecas de Tabasco",3,277,10860,0.280853761622992,0.353499079189687,0.423182586644125,0.776681665833812,0.0241252302025783,0.16841620626151,0.0958563535911602,84.8249494648225,0.0600616342388198,0.880206200235902,0.0597321655252782,0.612509840293958
"13","Pericos de Puebla",3,272,10500,0.296028880866426,0.364857142857143,0.470189257192867,0.83504640005001,0.0305714285714286,0.169333333333333,0.0922857142857143,77.7810723754173,0.226405869721794,0.724573613826655,0.0490205164515514,0.765267071376989
"14","Piratas de Campeche",3,270,10423,0.267244251916028,0.351050561258755,0.41874930578696,0.769799867045715,0.0280149669001247,0.20070996833925,0.101602225846685,84.6007126135185,0.113216215880912,0.81839852169709,0.0683852624219986,0.681998315562626
"15","Rieleros de Aguascalientes",3,271,10531,0.308762169680111,0.372139397967904,0.479405156734781,0.851544554702686,0.0315259709429304,0.175007121830785,0.0848922229607825,81.3770923529295,0.0784426619551476,0.850580684294786,0.070976653750067,0.704877395448379
"16","Saraperos de Saltillo",3,277,11011,0.292172457095019,0.365634365634366,0.440665550439514,0.80629991607388,0.0252474797929343,0.174552720007265,0.0924530015439106,80.4239519122091,0.0710900913139814,0.838868486034662,0.0900414226513568,0.663706942067583
"17","Sultanes de Monterrey",3,275,10818,0.288594833018273,0.357921981882048,0.444339424490653,0.802261406372702,0.0258827879460159,0.176834904788316,0.0927158439637641,85.3597654022577,0.10355110997741,0.829486209894312,0.0669626801282788,0.673039418324358
"18","Tecos de los Dos Laredos",3,279,10846,0.280816154816996,0.353586575696109,0.421224232225494,0.774810807921604,0.0232343721187535,0.188548773741471,0.0954268854877374,88.0247485298266,0.0690642268658331,0.661524143869933,0.269411629264234,0.524064383375592
"19","Tigres de Quintana Roo",3,275,10459,0.257232978029149,0.329381394014724,0.39177724603002,0.721158640044744,0.0228511329955063,0.202983076775982,0.0904484176307486,83.7662435522364,0.06735921788808,0.853515042129847,0.079125739982073,0.545735225150741
"20","Toros de Tijuana",3,275,10737,0.276154672395274,0.35745552761479,0.438882921589689,0.796338449204478,0.0283133091180032,0.199124522678588,0.10403278383161,75.4438837931433,0.0426681854869861,0.878993787296526,0.0783380272164885,0.435855568111279
