"","venue","seasons_n","total_BIP","gb_pct","fb_pct","ld_pct","pu_pct","hr_per_fb","hit_pct"
"1","Acereros del Norte",3,5507,0.449246413655348,0.249137461412747,0.195024514254585,0.091338296713274,0.135979182369933,0.347012892682041
"2","Algodoneros Union Laguna",3,5843,0.451822693821667,0.344172514119459,0.126818415197672,0.0682868389525928,0.102762274314489,0.357350676022591
"3","Bravos de Leon",3,5831,0.455496484308009,0.217458411936203,0.252443834676728,0.0629394614988853,0.215131777663188,0.394100497341794
"4","Caliente de Durango",3,5940,0.439225589225589,0.23973063973064,0.245117845117845,0.0648148148148148,0.143694105582958,0.381986531986532
"5","Charros de Jalisco",3,5547,0.451234901748693,0.311159185145123,0.149810708491076,0.0762574364521363,0.128040761864569,0.380926627005589
"6","Conspiradores de Queretaro",3,6069,0.466304168726314,0.236612291975614,0.225737353765035,0.0631075959795683,0.27009256825738,0.404514747075301
"7","Diablos Rojos del Mexico",3,6033,0.452013923421184,0.261064147190453,0.209845847836897,0.0699486159456324,0.166432569806802,0.39632023868722
"8","Dorados de Chihuahua",3,6116,0.441137998691956,0.262099411379987,0.224166121648136,0.0632766514061478,0.15416722918409,0.389633747547417
"9","El Aguila de Veracruz",3,5391,0.438508625486923,0.284177332591356,0.167872379892413,0.0925616768688555,0.157902304132091,0.334631793730291
"10","Guerreros de Oaxaca",3,5780,0.458131487889273,0.300173010380623,0.17318339100346,0.0595155709342561,0.154610519861523,0.392733564013841
"11","Leones de Yucatan",3,5395,0.4483781278962,0.279147358665431,0.17775718257646,0.0828544949026877,0.112782672584086,0.324559777571826
"12","Olmecas de Tabasco",3,5394,0.396737115313311,0.291805710048202,0.205042639970337,0.0899147200593252,0.102986090287824,0.327030033370412
"13","Pericos de Puebla",3,5744,0.471100278551532,0.302054317548747,0.148850974930362,0.0680710306406685,0.146187101914363,0.385097493036212
"14","Piratas de Campeche",3,5570,0.438061041292639,0.373249551166966,0.0917414721723519,0.09245960502693,0.150217972879691,0.346319569120287
"15","Rieleros de Aguascalientes",3,5858,0.443496073745306,0.237794469102083,0.245988391942643,0.0640150221918744,0.214176474144097,0.394161829976101
"16","Saraperos de Saltillo",3,6144,0.44921875,0.1845703125,0.29150390625,0.06396484375,0.234933711735265,0.375813802083333
"17","Sultanes de Monterrey",3,5649,0.462382722605771,0.266949902637635,0.183749336165693,0.0750575323066029,0.119985812229454,0.341122322534962
"18","Tecos de los Dos Laredos",3,5236,0.471543162719633,0.298892284186402,0.147249809014515,0.070855614973262,0.0954407078685895,0.343582887700535
"19","Tigres de Quintana Roo",3,5124,0.431693989071038,0.255464480874317,0.195160031225605,0.10167837626854,0.144084021056135,0.317720530835285
"20","Toros de Tijuana",3,5172,0.434261407579273,0.231051817478732,0.223124516627997,0.0988012374323279,0.158915900541662,0.331979891724671
