"","venue","seasons_n","total_BIP","gb_pct","fb_pct","ld_pct","pu_pct","hr_per_fb","hit_pct"
"1","Acereros del Norte",3,4453,0.446216034134292,0.245452503929935,0.199416123961374,0.0927464630586122,0.145512497551096,0.350325623175387
"2","Algodoneros Union Laguna",3,5014,0.454726765057838,0.341842840047866,0.125448743518149,0.0686078978859194,0.105897169158962,0.352413242919825
"3","Bravos de Leon",3,4665,0.459807073954984,0.229367631296892,0.237513397642015,0.062379421221865,0.204275473697275,0.395498392282958
"4","Caliente de Durango",3,4877,0.443715398810744,0.244617592782448,0.238261226163625,0.0623334016813615,0.14370203974666,0.377486159524298
"5","Charros de Jalisco",3,4419,0.453043675039602,0.307535641547862,0.150033944331297,0.0789771441502602,0.134775406413479,0.387644263408011
"6","Conspiradores de Queretaro",3,5005,0.457342657342657,0.238561438561439,0.229370629370629,0.0659340659340659,0.25930084404776,0.405194805194805
"7","Diablos Rojos del Mexico",3,4694,0.454196847038773,0.234128674904133,0.231785257775884,0.0707285896889646,0.171942523089884,0.396676608436302
"8","Dorados de Chihuahua",3,5010,0.452894211576846,0.260479041916168,0.215968063872255,0.0612774451097804,0.151909163940462,0.388622754491018
"9","El Aguila de Veracruz",3,4527,0.436933951844489,0.285398718798321,0.167218908769605,0.0929975701347471,0.157913965134193,0.331124364921582
"10","Guerreros de Oaxaca",3,4462,0.463693411026446,0.30681308830121,0.1665172568355,0.05333930972658,0.178305600237559,0.401389511429852
"11","Leones de Yucatan",3,4653,0.445733935095637,0.281753707285622,0.178164624973136,0.0829572318934021,0.121106423728862,0.323017408123791
"12","Olmecas de Tabasco",3,4630,0.402375809935205,0.288552915766739,0.203023758099352,0.0900647948164147,0.106290973812078,0.32829373650108
"13","Pericos de Puebla",3,4937,0.464452096414827,0.301195057727365,0.156572817500506,0.0686651812841807,0.155139163526598,0.385861859428803
"14","Piratas de Campeche",3,4564,0.404250657318142,0.398553900087642,0.095749342681858,0.0966257668711656,0.136159858027997,0.343339176161262
"15","Rieleros de Aguascalientes",3,4977,0.441832429174201,0.234277677315652,0.251557162949568,0.0636929877436207,0.212717647316918,0.389391199517782
"16","Saraperos de Saltillo",3,4952,0.466074313408724,0.190630048465267,0.273828756058158,0.0587641357027464,0.22009390091978,0.378231017770598
"17","Sultanes de Monterrey",3,4671,0.4652108756155,0.263969171483622,0.182187968315136,0.0766431171055448,0.128744166952523,0.34275315778206
"18","Tecos de los Dos Laredos",3,4313,0.47716206816601,0.299559471365639,0.145142592163227,0.0693252956178994,0.102951765639544,0.345467192209599
"19","Tigres de Quintana Roo",3,4290,0.433566433566434,0.261538461538462,0.19020979020979,0.0995337995337995,0.146172048290692,0.317948717948718
"20","Toros de Tijuana",3,4513,0.434300908486594,0.229115887436295,0.22291158874363,0.10126301794815,0.161235544319205,0.331486815865278
